dataset,feature_a,feature_b,corr,abs_corr
nsl_kdd,num_compromised,num_root,0.9986169171866158,0.9986169171866158
nsl_kdd,serror_rate,srv_serror_rate,0.993308718473567,0.993308718473567
nsl_kdd,rerror_rate,srv_rerror_rate,0.9891828843356042,0.9891828843356042
nsl_kdd,srv_serror_rate,dst_host_srv_serror_rate,0.9864471590089888,0.9864471590089888
nsl_kdd,dst_host_serror_rate,dst_host_srv_serror_rate,0.9855464442856303,0.9855464442856303
nsl_kdd,flag_S0,srv_serror_rate,0.9835703290870981,0.9835703290870981
nsl_kdd,serror_rate,dst_host_srv_serror_rate,0.9817183094176513,0.9817183094176513
nsl_kdd,flag_S0,dst_host_srv_serror_rate,0.9810172606090728,0.9810172606090728
nsl_kdd,serror_rate,dst_host_serror_rate,0.9804852583310248,0.9804852583310248
nsl_kdd,flag_S0,serror_rate,0.9803182350482434,0.9803182350482434
nsl_kdd,srv_serror_rate,dst_host_serror_rate,0.9789042889865344,0.9789042889865344
nsl_kdd,flag_S0,dst_host_serror_rate,0.9765151039654223,0.9765151039654223
nsl_kdd,srv_rerror_rate,dst_host_srv_rerror_rate,0.9704525883186984,0.9704525883186984
nsl_kdd,rerror_rate,dst_host_srv_rerror_rate,0.9643010602975152,0.9643010602975152
ciciot2023_dev,IPv,LLC,1.0,1.0
ciciot2023_dev,AVG,Tot size,0.9999999999999999,0.9999999999999999
ciciot2023_dev,ARP,IPv,-0.999999999999929,0.999999999999929
ciciot2023_dev,ARP,LLC,-0.999999999999929,0.999999999999929
